X,Y,OBJECTID_1,OBJECTID,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE
42.3888,-71.00412,1,1,1,Guild Bldg,195 Leyden Street,East Boston,2128,4061,4061,Guild Elementary,Guild,ES
42.37855,-71.03048,2,2,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,2128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES
42.37528,-71.03389,3,3,4,Otis Bldg,218 Marion Street,East Boston,2128,4322,4322,Otis Elementary,Otis,ES
42.37809,-71.03801,4,4,6,Odonnell Bldg,33 Trenton Street,East Boston,2128,4543,4543,O'Donnell Elementary,O'Donnell,ES
42.38096,-71.03492,5,5,7,East Boston High Bldg,86 White Street,East Boston,2128,1070,1070,East Boston High,East Boston HS,HS
42.37829,-71.04033,6,6,8,Umana / Barnes Bldg,86 White Street,East Boston,2128,4323,4323,Umana Academy,Umana Academy,K-8
42.36968,-71.03412,7,7,10,East Boston Eec Bldg,135 Gove Street,East Boston,2128,4450,4450,East Boston EEC,East Boston EEC,ELC
42.36927,-71.03431,8,8,11,Mckay Bldg,122 Cottage Street,East Boston,2128,4360,4360,McKay K-8,McKay K-8,K-8
42.36556,-71.03489,9,9,12,Adams Bldg,165 Webster Street,East Boston,2128,4361,4361,Adams Elementary,Adams,ES
42.37663,-71.05749,10,10,13,Harvard-Kent,50 Bunker Hill Street,Charlestown,2129,4280,4280,Harvard/Kent Elem,Harvard/Kent,ES
42.38012,-71.06107,11,11,14,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,2129,1050,1050,Charlestown High,Charlestown HS,HS
42.37908,-71.06723,12,12,15,Edwards Bldg,28 Walker Street,Charlestown,2129,2010,2010,Edwards Middle,Edwards MS,MS
42.378,-71.06443,13,13,16,Warren-Prescott Bldg,50 School Street,Charlestown,2129,4283,4283,Warren/Prescott K-8,Warren/Prescott K-8,K-8
42.3661,-71.05337,14,14,17,Eliot Bldg,16 Charter Street,Boston,2113,4381,4381,Eliot K-8,Eliot K-8,K-8
42.34841,-71.06905,15,15,21,Abraham Lincoln Building,152 Arlington Street,Boston,2116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12
42.34798,-71.06492,16,16,22,Boston HS Bldg,885 Washington Street,Boston,2111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12
42.35058,-71.07797,17,17,24,Snowden Hs Bldg,150 Newbury Street,Boston,2116,1200,1200,Snowden International,Snowden HS,HS
42.34437,-71.07352,18,18,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1291,1291,McKinley Elementary,McKinley Elem,Special
42.34437,-71.07352,19,19,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1294,1294,McKinley So. End Acad,McKinley S. End Acad,Special
42.33876,-71.07774,20,20,27,Hurley Bldg,70 Worcester Street,Boston,2118,4260,4260,Hurley K-8,Hurley K-8,K-8
42.34074,-71.07246,21,21,28,Blackstone Bldg,380 Shawmut Avenue,Boston,2118,4640,4640,Blackstone Elementary,Blackstone,ES
42.32622,-71.07133,22,22,31,Mason Bldg,150 Norfolk Avenue,Roxbury,2119,4121,4121,Mason Elementary,Mason,ES
42.32318,-71.05819,23,23,33,Clap Bldg,35 Harvest Street,Dorchester,2125,4531,4531,Clap Elementary,Clap,ES
42.33132,-71.05054,24,24,35,Perkins Bldg,50 Burke Street,South Boston,2127,4022,4022,Perkins Elementary,Perkins,ES
42.33287,-71.04489,25,25,36,South Boston Ed. Bldg,95 G Street,South Boston,2127,1162,1162,Excel High,Excel HS,HS
42.33487,-71.03841,26,27,37,Tynan Bldg,650 E. Fourth Street,South Boston,2127,4590,4590,Tynan Elementary,Tynan,ES
42.33212,-71.0302,27,28,38,Perry Bldg,745 E. Seventh Street,South Boston,2127,4592,4592,Perry K-8,Perry K-8,K-8
42.32038,-71.05955,28,29,39,Russell Bldg,750 Columbia Road,Dorchester,2125,4530,4530,Russell Elementary,Russell,ES
42.33028,-71.07791,29,30,42,Orchard Gardens K-8,906 Albany Street,Roxbury,2119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8
42.28227,-71.17434,30,32,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,2132,1256,1256,West Roxbury Academy,W. Roxbury Acad,HS
42.33357,-71.05043,31,34,34,Gavin Bldg,215 Dorchester Street,South Boston,2127,2450,2450,UP Academy Boston,UP Academy Boston,MS
42.32703,-71.08171,32,35,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,2119,1410,1410,Boston Day and Evening Academy,BDEA,Special
42.34056,-71.08384,33,36,45,Carter Center Bldg,396 Northampton Street,Roxbury,2118,4261,4261,Carter Center,Carter Center,Special
42.33176,-71.09029,34,37,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,2120,1210,1210,Madison Park High,Madison Park HS,HS
42.33204,-71.08879,35,38,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,2120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,41067
42.3304,-71.09097,36,39,49,Timilty Bldg,205 Roxbury Street,Roxbury,2119,2040,2040,Timilty Middle,Timilty MS,MS
42.32555,-71.09104,37,40,50,Hale Bldg,51 Cedar Street,Roxbury,2119,4113,4113,Hale Elementary,Hale,ES
42.32095,-71.08631,38,41,51,Lewis Bldg,131 Walnut Avenue,Roxbury,2119,4242,4242,Higginson/Lewis (3-8),Higginson/Lewis (3-8),K-8
42.31497,-71.07894,39,42,53,Blue Hill Ave Eec Bldg,263 Blue Hill Ave,Roxbury,2119,4460,4460,Haynes EEC,Haynes EEC,ELC
42.31574,-71.08784,40,43,54,Trotter Bldg,135 Humboldt Avenue,Dorchester,2121,4580,4580,Trotter K-8,Trotter K-8,K-8
42.31616,-71.0845,41,44,55,Boston Latin Academy Bldg,205 Townsend Street,Boston,2121,1020,1020,Boston Latin Academy,Boston Latin Acad,41067
42.31633,-71.09289,42,45,56,Ellis Bldg,302 Walnut Avenue,Roxbury,2119,4240,4240,Ellis Elementary,Ellis,ES
42.3182,-71.07563,43,46,57,Winthrop Bldg,35 Brookford Street,Dorchester,2125,4052,4052,Winthrop Elementary,Winthrop,ES
42.3113,-71.0762,44,47,58,King Bldg,77 Lawrence Avenue,Dorchester,2121,4055,4055,King K-8,King K-8,K-8
42.30905,-71.07541,45,48,59,Frederick Middle,270 Columbia Road,Dorchester,2121,2360,2360,Frederick Pilot Middle,Frederick MS,MS
42.30562,-71.07386,46,49,62,Holland Bldg,85 Olney Street,Dorchester,2121,4250,4250,UP Academy Holland,UP Holland,ES
42.3084,-71.06101,47,50,63,Mather Bldg,1 Parish Street,Dorchester,2122,4350,4350,Mather Elementary,Mather,ES
42.29993,-71.07073,48,52,67,Marshall Bldg,35 Westville Street,Dorchester,2124,4345,4345,UP Academy Charter School of Dorchester,UP Academy of Dorchester,K-8
42.29397,-71.06222,49,53,69,Ohearn Bldg,1669 Dorchester Avenue,Dorchester,2122,4391,4391,Henderson Lower (K0-1),Henderson Lower (K0-1),K-12
42.29421,-71.04919,50,54,70,Murphy Bldg,1 Worrell Street,Dorchester,2122,4400,4400,Murphy K-8,Murphy K-8,K-8
42.28655,-71.05319,51,55,71,Kenny Bldg,19 Oakton Avenue,Dorchester,2122,4390,4390,Kenny Elementary,Kenny,ES
42.28126,-71.06957,52,56,72,Wilson Bldg,18 Croftland Avenue,Dorchester,2124,1140,1140,Henderson Upper (2-12),Henderson Upper (2-12),K-12
42.27786,-71.07743,53,57,73,Taylor Bldg,1060 Morton Street,Mattapan,2126,4151,4151,Taylor Elementary,Taylor,ES
42.28142,-71.08091,54,58,74,Thompson Bldg,100 Maxwell Street,Dorchester,2124,1990,1990,Boston International HS,Boston Intl HS,Special
42.28142,-71.08091,55,59,74,Thompson Bldg,100 Maxwell Street,Dorchester,2124,1991,1991,Newcomers Academy,Newcomers Acad,Special
42.27676,-71.09043,56,60,77,Mildred Avenue Bldg,5 Mildred Avenue,Mattapan,2126,4671,4671,Mildred Avenue K-8,Mildred Ave K-8,K-8
42.28779,-71.07679,57,61,78,Dorchester Ed. Bldg #1 - Main,9 Peacevale Road,Dorchester,2124,1460,1460,TechBoston Academy,TechBoston,41067
42.29244,-71.08038,58,62,80,Lee Bldg,155 Talbot Avenue,Dorchester,2124,4290,4290,Lee K-8,Lee K-8,K-8
42.28661,-71.07301,59,63,79,Fifield Bldg,25 Dunbar Ave.,Dorchester,2124,4291,4291,Lee Academy (K1-3),Lee Academy (K1-3),ES
42.29679,-71.0756,60,64,82,Holmes Bldg,40 School Street,Dorchester,2124,4084,4084,Holmes Elementary,Holmes,ES
42.28231,-71.095,61,65,85,Lewenberg Bldg,20 Outlook Road,Mattapan,2126,4600,4600,Young Achievers K-8,Young Achievers K-8,K-8
42.27582,-71.10409,62,66,86,Mattahunt Bldg,100 Hebron Street,Mattapan,2126,4691,4691,Mattahunt Elementary,Mattahunt (K1-2),ES
42.26726,-71.10478,63,67,87,Chittick Bldg,154 Ruskindale Road,Mattapan,2126,4070,4070,Chittick Elementary,Chittick,ES
42.30113,-71.06173,64,69,65,Cleveland Bldg,11 Charles Street,Dorchester,2122,1103,1103,Comm Acad Sci Health,CASH,HS
42.28541,-71.11774,65,70,91,Philbrick Bldg,40 Philbrick Street,Roslindale,2131,4561,4561,Philbrick Elementary,Philbrick,ES
42.28676,-71.10772,66,71,92,Haley Bldg,570 American Legion Highway,Roslindale,2131,4210,4210,Haley K-8,Haley K-8,K-8
42.29464,-71.11594,67,72,93,Parkman Bldg,25 Walk Hill Street,Jamaica Plain,2130,4661,4661,BTU K-8 Pilot,BTU Pilot School K-8,K-8
42.24295,-71.12345,68,74,96,Roosevelt Bldg,95 Needham Road,Hyde Park,2136,4192,4192,Roosevelt Upper (2-8),Roosevelt Upper (2-8),K-8
42.25163,-71.13332,69,75,98,Channing Bldg,35 Sunnyside Street,Hyde Park,2136,4201,4201,Channing Elementary,Channing,ES
42.25677,-71.12732,70,76,99,Grew Bldg,40 Gordon Avenue,Hyde Park,2136,4200,4200,Grew Elementary,Grew,ES
42.2748,-71.12705,71,77,100,Conley Bldg,450 Poplar Street,Roslindale,2131,4080,4080,Conley Elementary,Conley,ES
42.28364,-71.12493,72,78,101,Irving Bldg,105 Cummins Highway,Roslindale,2131,2140,2140,Irving Middle,Irving MS,MS
42.28646,-71.12684,73,79,102,Sumner Bldg,15 Basile Street,Roslindale,2131,4560,4560,Sumner Elementary,Sumner,ES
42.30893,-71.10349,74,80,105,Fuller Bldg,25 Glen Road,Jamaica Plain,2130,1340,1340,Community Academy,Community Acad,Special
42.31394,-71.09812,75,81,107,Hernandez Bldg,61 School Street,Roxbury,2119,4053,4053,Hernandez K-8,Hernandez K-8,K-8
42.30601,-71.1096,76,82,108,English Hs Bldg,144 Mcbride Street,Jamaica Plain,2130,1080,1080,English High,English HS,HS
42.31656,-71.10161,77,83,109,Mendell Bldg,164 School Street,Roxbury,2119,4370,4370,Mendell Elementary,Mendell,ES
42.32179,-71.10584,78,84,110,"Kennedy, J  Bldg",7 Bolster Street,Jamaica Plain,2130,4270,4270,Kennedy John F Elemen,JF Kennedy,ES
42.32629,-71.10694,79,85,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,2130,4231,4231,West Zone ELC,West Zone ELC,ELC
42.33302,-71.09829,80,86,113,Tobin Bldg,40 Smith Street,Roxbury,2120,4570,4570,Tobin K-8,Tobin K-8,K-8
42.3379,-71.10169,81,87,115,Boston Latin School Bldg,78 Avenue Louis Pasteur,Boston,2115,1010,1010,Boston Latin School,Boston Latin Sch,41067
42.34146,-71.09153,82,88,116,Health Careers Academy,110 The Fenway,Boston,2115,1440,1440,Kennedy Health Careers Academy (11-12),Kennedy HCA (11-12),HS
42.33059,-71.09918,83,89,118,Mission Hill Bldg,67 Alleghany Street,Roxbury,2120,1265,1265,Fenway High,Fenway HS,HS
42.3007,-71.06215,84,90,118,Cleveland Bldg,11 Charles Street,Dorchester,2122,1420,1420,Boston Arts Academy,BAA,HS
42.34344,-71.09926,85,91,119,Mckinley Peterborough Bldg,97 Peterborough Street,Boston,2215,1293,1293,McKinley Prep High Sch,McKinley Prep HS,Special
42.34795,-71.10676,86,92,120,Mckinley St Mary'S St Bldg,50 St. Mary Street,Boston,2215,1292,1292,McKinley Middle,McKinley MS,Special
42.31869,-71.11422,87,93,121,"Curley, J.  Bldg",40 Pershing Road,Jamaica Plain,2130,4272,4272,Curley K-8 (Lower),Curley K-8 (Lower),K-8
42.31851,-71.11295,88,94,122,"Curley, Mary  Bldg",493 Centre Street,Jamaica Plain,2130,4272,4272,Curley K-8 (Upper),Curley K-8 (Upper),K-8
42.30559,-71.13149,89,95,124,Manning Bldg,130 Louders Lane,Jamaica Plain,2130,4311,4311,Manning Elementary,Manning,ES
42.27777,-71.13533,90,96,126,Bates Bldg,426 Beech Street,Roslindale,2131,4081,4081,Bates Elementary,Bates,ES
42.28123,-71.14105,91,97,127,Mozart Bldg,236 Beech Street,Roslindale,2131,4082,4082,Mozart Elementary,Mozart,ES
42.29266,-71.15237,92,98,128,Russett Road Bldg,140 Russett Road,West Roxbury,2132,4033,4033,Kilmer Upper (4-8),Kilmer Upper (4-8),K-8
42.26344,-71.15613,93,99,129,Beethoven Bldg,5125 Washington Street,West Roxbury,2132,4030,4030,Beethoven Elementary,Beethoven (K1-2),ES
42.27189,-71.16257,94,100,130,Kilmer Bldg,35 Baker Street,West Roxbury,2132,4031,4031,Kilmer Lower (K1-3),Kilmer Lower (K1-3),K-8
42.28227,-71.17434,95,101,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,2132,1253,1253,Urban Science Academy,Urban Science Academy,HS
42.283,-71.15837,96,102,132,"Shaw, R.G.  Bldg",20 Mt. Vernon Street,West Roxbury,2132,4331,4331,Lyndon K-8,Lyndon K-8,K-8
42.34559,-71.16019,97,103,133,Edison Bldg,60 Glenmont Road,Brighton,2135,4178,4178,Edison K-8,Edison K-8,K-8
42.35108,-71.1615,98,104,135,"Lyon, Mary  Bldg",50 Beechcroft Street,Brighton,2135,4171,4171,Lyon K-8,Lyon K-8,K-12
42.35213,-71.16076,99,105,136,Garfield Bldg,95 Beechcroft Street,Brighton,2135,1171,1171,"Lyon, Mary 9-12",Lyon 9-12,K-12
42.3476,-71.15535,100,106,137,Winship Bldg,54 Dighton Street,Brighton,2135,4173,4173,Winship Elementary,Winship,ES
42.26526,-71.11793,101,107,139,E. Greenwood Bldg,612 Metropolitan Avenue,Hyde Park,2136,1230,1230,Another Course to College,ACC,HS
42.34909,-71.14549,102,108,140,Brighton High School Bldg,25 Warren Street,Brighton,2135,1040,1040,Brighton High,Brighton HS,HS
42.34204,-71.14051,103,109,141,Baldwin Bldg,121 Corey Road,Brighton,2135,4621,4621,Baldwin ELPA,Baldwin ELPA,ELC
42.35206,-71.1377,104,110,142,Jackson Mann Bldg,40 Armington Street,Allston,2134,4610,4610,Horace Mann,Horace Mann K-12,Special
42.35206,-71.1377,105,111,142,Jackson Mann Bldg,40 Armington Street,Allston,2134,4620,4620,Jackson/Mann K-8,Jackson/Mann K-8,K-8
42.26242,-71.11791,106,112,89,Hyde Park EC,655 Metropolitan Ave,Hyde Park,2136,1285,1285,New Mission High,New Mission HS,41067
42.36077,-71.13411,107,113,144,Gardner Bldg,30 Athol Street,Allston,2134,4160,4160,Gardner K-8,Gardner K-8,K-8
42.26076,-71.14961,108,114,145,Ohrenberger Bldg,175 West Boundary Road,West Roxbury,2132,4410,4410,Ohrenberger 3-8,Ohrenberger 3-8,K-8
42.31369,-71.05977,109,115,146,Everett Bldg,71 Pleasant Street,Dorchester,2125,4140,4140,Everett Elementary,Everett,ES
42.28212,-71.08684,110,116,148,"Shaw, P.A. Bldg",429 Norfolk Street,Dorchester,2124,4670,4670,P.A. Shaw (K1-3),P.A. Shaw (K1-3),ES
42.29656,-71.08066,111,117,149,"Greenwood, S Bldg",189 Glenway Street,Dorchester,2121,4130,4130,Greenwood Sarah K-8,S. Greenwood K-8,K-8
42.30682,-71.08163,112,118,150,Burke High School Bldg,60 Washington Street,Dorchester,2121,1120,1120,Burke High,Burke HS,HS
42.31763,-71.04274,113,119,152,Dever Bldg,325 Mt. Vernon Street,Dorchester,2125,4100,4100,Dever Elementary,Dever,ES
42.31803,-71.0435,114,120,153,Mccormack Bldg,315 Mt. Vernon Street,Dorchester,2125,2190,2190,McCormack Middle,McCormack MS,MS
42.33803,-71.05215,115,121,156,Condon Bldg,200 D Street,South Boston,2127,4630,4630,Condon K-8,Condon K-8,K-8
42.2339,-71.13288,116,122,998,New Roosevelt Bldg,30 Millstone Road,Hyde Park,2136,4193,4193,Roosevelt K-8 (K1-1),Roosevelt Lower (K1-1),K-8
42.39162,-71.00505,117,123,2,"Bradley Bldg",110 Beachview Road,East Boston,2128,4062,4062,Bradley Elementary,Bradley,ES
42.32562,-71.10691,118,124,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,2130,4230,4230,Hennigan K-8,Hennigan K-8,K-8
42.27179,-71.09189,119,125,76,Mattapan Eec Bldg,108 Babson Street,Mattapan,2126,4440,4440,Ellison/ Parks ELC,Ellison/ Parks ELC,ELC
42.31413,-71.09929,120,126,106,Greater Egleston High,80 School Street,Roxbury,2119,1430,1430,Greater Egleston High,Greater Egleston HS,HS
42.30704,-71.11387,121,128,123,Agassiz Building,20 Child St,Jamaica Plain,2130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8
42.30721,-71.11448,122,129,123,Agassiz Building,20 Child St,Jamaica Plain,2130,1053,1053,Margarita Muniz Academy,Muniz Academy,HS
42.32193,-71.07337,123,130,30,Emerson Building,6 Shirley St,Roxbury,2119,4123,4123,Dudley Street Neighborhood Charter School,Dudley St NCS,ES
42.33393,-71.10656,124,131,114,Farragut Building,10 Fenwood Road,Jamaica Plain,2115,1441,1441,Kennedy Health Careers Academy (9-10),Kennedy HCA (9-10),HS
42.26323,-71.11789,125,132,89,Hyde Park EC,655 Metropolitan Ave,Hyde Park,2136,1195,1195,Community Leadership Academy,BCLA,HS
42.36591,-71.05487,126,1335,1000,Eliot Bldg,173 Salem Street,Boston,2113,4381,4381,Eliot K-8,Eliot K-8,K-8
42.31766,-71.09203,127,1736,52,Higginson Bldg,160 Harrishof Street,Roxbury,2119,4241,4241,Higginson Elementary (K1-2),Higginson (K1-2),ES
42.37157,-71.03794,128,2136,0,Alighieri Bldg,37 Gove St.,East Boston,2128,4321,4321,Alighieri Montessori,Alighieri,ES
42.34877,-71.06815,129,2938,0,Church Street Bldg,20 Church Street,Boston,2116,1215,1215,Boston Adult Tech Acad,BATA,Special
42.35044,-71.14596,130,2946,139,Taft Bldg,20 Warren Street,Brighton,2135,1470,1470,Boston Green Academy,Boston Green Academy,41067
42.32615,-71.0805,131,3346,150,Dearborn Bldg,35 Greenville Street,Roxbury,2119,1260,1260,Dearborn Academy,Dearborn Academy,41067